season,month,airport_a,airport_b,risk_score,reason,cascade_cost
Spring (Mar-May),5,LIT,SGF,100.0,correlated weather delays,
Spring (Mar-May),5,LIT,SHV,97.61863542236384,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,LFT,97.13455588254936,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,GRK,96.54958935072843,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,MCO,MIA,96.0749709208261,correlated weather delays; duty time violation risk,24000.0
Spring (Mar-May),5,SGF,LFT,95.85408385025225,correlated weather delays,
Spring (Mar-May),5,CLT,LIT,95.8248645716004,correlated weather delays; tight turnaround / missed connection risk,32175.0
Spring (Mar-May),5,SAT,LIT,95.65392379775622,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ELP,LIT,95.16140334184522,correlated weather delays,
Spring (Mar-May),5,SGF,GRK,94.82100564165067,correlated weather delays,
Spring (Mar-May),5,MAF,SGF,94.11033868652662,correlated weather delays,10125.0
Winter (Dec-Feb),1,XNA,SGF,93.84521714324295,correlated weather delays,
Summer (Jun-Aug),6,LAS,MCO,93.55943541853239,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MCO,CLT,93.1314678878542,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,ATL,MCO,93.12331357715986,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SAT,CLT,92.94617959458276,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SHV,LFT,92.64394451476043,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SGF,SHV,92.4086080130958,correlated weather delays,11925.0
Spring (Mar-May),5,ELP,LFT,92.1648226582308,correlated weather delays,
Spring (Mar-May),5,MAF,GRK,92.01717835017091,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ATL,DEN,91.87619229546227,correlated weather delays; duty time violation risk,21075.0
Summer (Jun-Aug),6,DEN,MCO,91.70870572571998,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,GRK,LFT,91.3528876443362,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,MAF,90.88983408412322,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,ABI,90.51671682251965,correlated weather delays,
Summer (Jun-Aug),6,IAH,MCO,90.2817914171756,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MAF,LFT,89.66517520147403,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,LAX,IAH,89.25311680643073,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SHV,GRK,89.17413643770342,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,XNA,LIT,88.94616886546204,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,XNA,SGF,88.88010686177468,correlated weather delays,
Spring (Mar-May),5,IAH,CLT,88.43491864320019,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SGF,BTR,88.19454940317257,correlated weather delays,
Spring (Mar-May),5,CLT,SGF,88.08012493095382,correlated weather delays; tight turnaround / missed connection risk,32250.0
Spring (Mar-May),5,IAH,LIT,87.95574760345363,correlated weather delays; duty time violation risk,11550.0
Spring (Mar-May),5,ELP,SGF,87.93039373160954,correlated weather delays,14100.0
Spring (Mar-May),5,IAH,MCO,87.91148491248086,correlated weather delays; duty time violation risk,71625.0
Spring (Mar-May),5,MCO,LIT,87.68821194545214,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SAT,SGF,87.62430142176215,correlated weather delays,21975.0
Spring (Mar-May),5,ELP,SHV,87.59713361411362,correlated weather delays,
Spring (Mar-May),5,ATL,MCO,87.50438087600033,correlated weather delays; duty time violation risk,21000.0
Spring (Mar-May),5,XNA,ELP,87.44007764201122,correlated weather delays,
Spring (Mar-May),5,CLT,ELP,87.41912172852322,correlated weather delays; tight turnaround / missed connection risk,25425.0
Spring (Mar-May),5,LIT,BTR,87.35490758094397,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SAT,LFT,87.32574563846114,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,IAH,SAT,87.28280881333527,correlated weather delays; tight turnaround / missed connection risk,36000.0
Spring (Mar-May),5,LAX,ATL,87.16585352466348,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,LIT,ICT,86.72365479888086,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,DEN,IAH,86.64197402795418,duty time violation risk,
Spring (Mar-May),5,ABI,LFT,86.49601543459357,correlated weather delays,
Summer (Jun-Aug),6,LAX,MCO,86.4200098358461,duty time violation risk,11100.0
Spring (Mar-May),5,AUS,SAT,86.39984833440597,correlated weather delays,51300.0
Spring (Mar-May),5,LIT,MEM,86.38890056620939,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SHV,ABI,86.2978898270692,correlated weather delays,
Spring (Mar-May),5,BTR,GRK,86.24780135339311,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,CLT,XNA,86.19448390522298,correlated weather delays; tight turnaround / missed connection risk,29775.0
Summer (Jun-Aug),6,LAX,DEN,86.1664168103523,duty time violation risk,
Spring (Mar-May),5,SAT,MAF,85.97363926551162,correlated weather delays,
Spring (Mar-May),5,ELP,GRK,85.94507092334503,correlated weather delays,
Spring (Mar-May),5,LAX,DEN,85.90022036259427,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,BTR,LFT,85.88693567307655,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,XNA,LFT,85.8868007912444,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ELP,ABI,85.71280961033119,correlated weather delays,
Spring (Mar-May),5,DEN,MCO,85.60543362098909,correlated weather delays; duty time violation risk,21675.0
Spring (Mar-May),5,ELP,MAF,85.52067655798146,correlated weather delays,16875.0
Spring (Mar-May),5,SAT,XNA,85.51152172676203,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,XNA,BTR,85.3066313794053,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SAT,ELP,85.16357540784082,correlated weather delays,
Spring (Mar-May),5,CLT,LFT,85.07006242288736,correlated weather delays; duty time violation risk,15150.0
Spring (Mar-May),5,SAT,GRK,85.06775188984967,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ATL,CLT,84.89449510223925,correlated weather delays; duty time violation risk,13875.0
Spring (Mar-May),5,AMA,GRK,84.88493851055944,correlated weather delays,
Spring (Mar-May),5,ORD,MCO,84.82769107530505,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,ICT,GRK,84.79048753334831,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,IAH,AUS,84.73122026244145,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,AMA,84.55585162248008,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MSY,LIT,84.54221788436466,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,CLT,SFO,84.29049252044389,correlated weather delays; tight turnaround / missed connection risk,39750.0
Summer (Jun-Aug),6,ATL,MIA,84.26102792249326,duty time violation risk,
Spring (Mar-May),5,MCO,SAT,84.1518392308374,correlated weather delays; tight turnaround / missed connection risk,19125.0
Spring (Mar-May),5,SGF,ABI,84.12050962690209,correlated weather delays,
Summer (Jun-Aug),6,AUS,MIA,84.06991962797414,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MAF,ICT,84.0519328388266,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,ORD,MCO,84.03835561192624,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,AUS,CLT,83.98116444975585,correlated weather delays; duty time violation risk,17625.0
Spring (Mar-May),5,ELP,ICT,83.91475538248947,correlated weather delays,
Summer (Jun-Aug),7,LAX,ATL,83.83886105244167,duty time violation risk,
Summer (Jun-Aug),6,LAS,AUS,83.83023259835643,correlated weather delays,
Spring (Mar-May),5,ATL,AUS,83.78888127633424,correlated weather delays; tight turnaround / missed connection risk,23775.0
Spring (Mar-May),5,IAH,SGF,83.63812537762055,correlated weather delays; tight turnaround / missed connection risk,19425.0
Summer (Jun-Aug),6,DEN,LAS,83.63282370035657,duty time violation risk,
Summer (Jun-Aug),6,ATL,DEN,83.60133548543645,duty time violation risk,
Spring (Mar-May),5,JAN,LFT,83.57173499712935,correlated weather delays; tight turnaround / missed connection risk,
