season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Summer (Jun-Aug),ATL,MCO,93.12331357715986,HRL,22.45479028868943,70.66852328847042
Winter (Dec-Feb),XNA,SGF,93.84521714324295,LRD,25.092072709465604,68.75314443377735
Summer (Jun-Aug),DEN,MCO,91.70870572571998,HRL,23.051048285131216,68.65765744058876
Summer (Jun-Aug),LAS,MCO,93.55943541853239,HRL,25.515542986620186,68.0438924319122
Summer (Jun-Aug),MCO,MIA,96.0749709208261,HRL,29.994349102491487,66.08062181833462
Summer (Jun-Aug),DEN,IAH,86.64197402795418,HRL,23.051048285131216,63.59092574282296
Summer (Jun-Aug),IAH,MCO,90.2817914171756,HRL,26.741992567668415,63.53979884950718
Summer (Jun-Aug),LAX,ATL,83.83886105244167,HRL,21.999386585575404,61.839474466866264
Summer (Jun-Aug),ATL,MIA,84.26102792249326,HRL,22.45479028868943,61.806237633803825
Summer (Jun-Aug),ATL,DEN,83.60133548543645,HRL,22.45479028868943,61.14654519674702
Summer (Jun-Aug),LAX,IAH,89.25311680643073,HRL,28.312126782198675,60.94099002423205
Summer (Jun-Aug),MCO,CLT,76.41430750821986,HRL,15.547506357808945,60.86680115041092
Summer (Jun-Aug),DEN,LAS,83.63282370035657,HRL,23.051048285131216,60.58177541522535
Summer (Jun-Aug),ATL,IAH,82.93029844525803,HRL,22.45479028868943,60.4755081565686
Summer (Jun-Aug),ATL,LAS,81.16849455759841,HRL,22.45479028868943,58.71370426890898
Summer (Jun-Aug),ORD,MCO,84.03835561192624,HRL,25.390833356155145,58.647522255771094
Summer (Jun-Aug),AUS,MIA,84.06991962797414,HRL,25.718098346147563,58.35182128182658
Summer (Jun-Aug),LAS,AUS,83.83023259835643,HRL,25.515542986620186,58.31468961173624
Winter (Dec-Feb),XNA,LFT,83.32341352813943,LRD,25.092072709465604,58.23134081867382
Summer (Jun-Aug),LAX,MCO,86.4200098358461,HRL,28.312126782198675,58.10788305364743
Summer (Jun-Aug),LAX,DEN,86.1664168103523,HRL,28.312126782198675,57.85429002815363
Summer (Jun-Aug),DEN,MIA,80.29021788585221,HRL,23.051048285131216,57.239169600721
Winter (Dec-Feb),SGF,LFT,80.83714630855684,LRD,23.875921166090272,56.96122514246657
Summer (Jun-Aug),PHX,MCO,83.46936053240684,HRL,26.911666036713456,56.55769449569338
Winter (Dec-Feb),XNA,LIT,81.43655636882698,LRD,25.092072709465604,56.34448365936138
Summer (Jun-Aug),LAS,IAH,81.63466753198118,HRL,25.515542986620186,56.11912454536099
Summer (Jun-Aug),LGA,MCO,79.93389510714017,HRL,24.059468258858654,55.874426848281516
Winter (Dec-Feb),ORD,XNA,76.85137059208138,LRD,21.06900334197536,55.78236725010602
Summer (Jun-Aug),ORD,DEN,80.81040453864318,HRL,25.390833356155145,55.41957118248804
Summer (Jun-Aug),LAX,ORD,77.26672684070063,HRL,21.999386585575404,55.26734025512522
Summer (Jun-Aug),DEN,AUS,78.23929829018307,HRL,23.051048285131216,55.188250005051856
Summer (Jun-Aug),DEN,SEA,77.97382009100151,HRL,23.051048285131216,54.9227718058703
Winter (Dec-Feb),AUS,SAN,81.04126492209575,HRL,26.459201032393942,54.58206388970181
Summer (Jun-Aug),LAX,AUS,82.6777378426652,HRL,28.312126782198675,54.36561106046652
Summer (Jun-Aug),MIA,FLL,82.88007009597948,HRL,28.52465206318216,54.35541803279732
Summer (Jun-Aug),LAX,LAS,82.28485697718878,HRL,28.312126782198675,53.972730194990106
Summer (Jun-Aug),DEN,FLL,76.71601945520138,HRL,23.051048285131216,53.66497117007016
Winter (Dec-Feb),LAX,SAN,81.4000244004885,HRL,27.963635361808272,53.43638903868023
Summer (Jun-Aug),ATL,SEA,75.86961474145009,HRL,22.45479028868943,53.41482445276066
Summer (Jun-Aug),ATL,CLT,78.8730023637158,HRL,25.561798069651203,53.311204294064595
Summer (Jun-Aug),MCO,TPA,83.27205497103911,HRL,29.994349102491487,53.27770586854763
Summer (Jun-Aug),MCO,FLL,83.21027087355138,HRL,29.994349102491487,53.2159217710599
Summer (Jun-Aug),LAS,MIA,78.5047909780641,HRL,25.515542986620186,52.989247991443904
Winter (Dec-Feb),IAH,SAN,80.11017153981831,HRL,27.488664664830882,52.62150687498743
Summer (Jun-Aug),ATL,AUS,75.07600239687852,HRL,22.45479028868943,52.62121210818909
Winter (Dec-Feb),LIT,SGF,74.55793442158087,LRD,22.183909803603612,52.374024617977256
Summer (Jun-Aug),ORD,IAH,77.60155075851817,HRL,25.390833356155145,52.21071740236303
Winter (Dec-Feb),XNA,STL,77.09471841900147,LRD,25.092072709465604,52.00264570953586
Winter (Dec-Feb),SAN,LIT,79.84706279898602,HRL,27.883397668212055,51.96366513077396
Winter (Dec-Feb),MCO,XNA,74.81431560587612,LRD,22.865240234508654,51.949075371367464
Summer (Jun-Aug),LAS,SEA,77.1921770831493,HRL,25.515542986620186,51.67663409652911
Summer (Jun-Aug),MCO,SEA,81.6456725109691,HRL,29.994349102491487,51.65132340847762
Summer (Jun-Aug),ATL,ORD,77.14078195958635,HRL,25.561798069651203,51.578983889935145
Summer (Jun-Aug),ORD,LGA,75.82224883411794,HRL,24.32842941743534,51.4938194166826
Summer (Jun-Aug),ATL,LGA,76.94898439313461,HRL,25.561798069651203,51.387186323483405
Summer (Jun-Aug),MCO,LIT,81.28248889173332,HRL,29.994349102491487,51.28813978924184
Summer (Jun-Aug),MCO,AUS,80.85499055634253,HRL,29.994349102491487,50.860641453851045
Summer (Jun-Aug),ATL,PHX,73.22976475666917,HRL,22.45479028868943,50.77497446797974
Summer (Jun-Aug),DEN,PHX,73.80234996951054,HRL,23.051048285131216,50.75130168437933
Winter (Dec-Feb),LAX,IAH,78.42509797525408,HRL,27.963635361808272,50.4614626134458
Summer (Jun-Aug),LAX,MIA,78.63294869177179,HRL,28.312126782198675,50.32082190957311
Summer (Jun-Aug),ORD,LAS,75.58136261993539,HRL,25.390833356155145,50.19052926378025
Summer (Jun-Aug),AUS,FLL,75.89542775905477,HRL,25.718098346147563,50.177329412907206
Summer (Jun-Aug),ORD,SEA,75.54115885136133,HRL,25.390833356155145,50.15032549520619
Summer (Jun-Aug),PHX,AUS,76.71654802325605,HRL,26.911666036713456,49.8048819865426
